timestamp,e_distance,e_theta,v,w
1722328176.528142705,0.409245,-0.44021,0.3,-0.287598
1722328176.559216153,0.401091,-0.43263,0.3,-0.29094
1722328176.588867176,0.391789,-0.42206,0.299999,-0.180945
1722328176.618289445,0.38234,-0.412795,0.299999,-0.188115
1722328176.648054149,0.373065,-0.407977,0.299999,-0.222445
1722328176.678649413,0.362868,-0.406315,0.299999,-0.27862
1722328176.709071143,0.352063,-0.406253,0.299999,-0.344199
1722328176.738440751,0.340485,-0.40603,0.299999,-0.422429
1722328176.766901734,0.329211,-0.405583,0.299999,-0.512908
1722328176.797607968,0.317432,-0.404609,0.3,-0.684459
1722328176.826502403,0.304771,-0.402291,0.299999,-0.699813
1722328176.856123580,0.291962,-0.397392,0.299999,-0.699996
1722328176.884835690,0.278546,-0.390584,0.299999,-0.699997
1722328176.913587759,0.265738,-0.383044,0.3,-0.699999
1722328176.942249197,0.253536,-0.373955,0.3,-0.699999
1722328176.970952898,0.241341,-0.362031,0.299999,-0.699999
1722328177.631788,0.22978,-0.34681,0.299999,-0.699999
1722328177.29235783,0.218814,-0.326733,0.299999,-0.699998
1722328177.60108382,0.209835,-0.303589,0.299999,-0.699994
1722328177.88905852,0.200755,-0.274566,0.299999,-0.574436
1722328177.116607558,0.192484,-0.248484,0.299999,-0.485374
1722328177.145154404,0.184824,-0.226128,0.3,-0.414432
1722328177.173790604,0.176426,-0.205596,0.299999,-0.225851
1722328177.202381397,0.167824,-0.188964,0.299999,-0.186483
1722328177.230071489,0.159519,-0.178324,0.299999,-0.200946
1722328177.257896736,0.151136,-0.171239,0.299999,-0.258589
1722328177.285612750,0.142756,-0.163788,0.299999,-0.298827
1722328177.320997960,0.134737,-0.155063,0.299999,-0.331737
1722328177.350971819,0.123974,-0.14094,0.299986,-0.230904
1722328177.380518909,0.114981,-0.127832,0.299998,-0.281738
1722328177.410180427,0.106268,-0.118369,0.299348,-0.206831
1722328177.439794304,0.0972707,-0.107516,0.299055,-0.217925
1722328177.469589170,0.0882822,-0.0990452,0.299399,-0.249718
1722328177.499185478,0.0795831,-0.0908339,0.299486,-0.279268
1722328177.528804222,0.0705884,-0.0811919,0.298631,-0.297001
1722328177.560532396,0.061622,-0.070175,0.291883,-0.296222
1722328177.587796838,0.0524262,-0.0579131,0.266867,-0.265983
1722328177.616201047,0.0445553,-0.0465275,0.277347,-0.27051
1722328177.642572561,0.0368755,-0.035457,0.203793,-0.169028
1722328177.668933117,0.0300372,-0.0260207,0.19677,-0.157963
1722328177.695392649,0.0242276,-0.0172877,0.177175,-0.128212
1722328177.723737126,0.0197631,-0.0116508,0.132595,-0.0781334
1722328177.750528593,0.0157926,-0.00643923,0.108082,-0.0581229
1722328177.776363596,0.0132131,-0.00282614,0.0748234,-0.0262434
